epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,483.302,4.83089,4.35148,3.51235,0.08345,0.06574,0.0193,0.00815,3.46991,3.93841,2.97209,0.0700089,0.00333235,0.00333235
2,1109.9,3.5932,3.19798,2.62545,0.20141,0.07594,0.06697,0.03546,3.04194,3.64536,2.65411,0.0399869,0.00664368,0.00664368
3,6398.51,3.27234,2.83049,2.47532,0.46069,0.13714,0.1355,0.07814,2.8001,3.36218,2.57507,0.00994289,0.00993302,0.00993302
4,6728.27,3.00077,2.51055,2.37446,0.33493,0.17376,0.18114,0.11136,2.63977,2.95458,2.45101,0.009901,0.009901,0.009901
5,7125.47,2.82515,2.26518,2.27592,0.56339,0.19105,0.20104,0.13197,2.48813,2.70998,2.34916,0.009868,0.009868,0.009868
6,7418.67,2.70365,2.08896,2.23873,0.697,0.20463,0.22466,0.14803,2.42466,2.57482,2.33567,0.009835,0.009835,0.009835
7,7715.71,2.66678,1.96924,2.19418,0.51945,0.22406,0.23897,0.15802,2.38011,2.41309,2.29554,0.009802,0.009802,0.009802
8,8020.22,2.60675,1.84684,2.18112,0.55936,0.24487,0.25956,0.17279,2.3511,2.32095,2.27172,0.009769,0.009769,0.009769
9,8989.39,2.56188,1.76191,2.15106,0.49562,0.27009,0.28268,0.18768,2.27897,2.18493,2.23888,0.009736,0.009736,0.009736
10,9280.19,2.47698,1.68277,2.11801,0.46215,0.28566,0.29918,0.20085,2.21721,2.16383,2.20738,0.009703,0.009703,0.009703
11,9579.38,2.49023,1.65959,2.11209,0.36778,0.30693,0.31742,0.21028,2.22513,2.0673,2.20382,0.00967,0.00967,0.00967
12,10310.7,2.43635,1.59939,2.0957,0.48366,0.31038,0.32567,0.21455,2.20168,2.06923,2.1881,0.009637,0.009637,0.009637
13,10618.6,2.41863,1.55674,2.08889,0.3988,0.32638,0.34073,0.22545,2.17085,2.00464,2.17575,0.009604,0.009604,0.009604
14,10906.7,2.39455,1.52232,2.08679,0.42375,0.35755,0.35719,0.23645,2.14352,1.92926,2.16603,0.009571,0.009571,0.009571
15,11214,2.38019,1.49638,2.06823,0.42738,0.36375,0.35806,0.23699,2.12371,1.87982,2.14435,0.009538,0.009538,0.009538
16,13255.2,2.35252,1.46612,2.05592,0.4703,0.37516,0.38205,0.25596,2.09579,1.8215,2.12845,0.009505,0.009505,0.009505
17,13553.1,2.34038,1.44458,2.04809,0.47691,0.37714,0.37847,0.25531,2.08074,1.82328,2.11441,0.009472,0.009472,0.009472
18,13841.1,2.32245,1.42989,2.0509,0.47726,0.39925,0.39393,0.2638,2.07502,1.78784,2.12353,0.009439,0.009439,0.009439
19,14165.3,2.32299,1.40553,2.04525,0.47061,0.4016,0.39754,0.26963,2.04591,1.77127,2.11011,0.009406,0.009406,0.009406
20,14454,2.27947,1.37142,2.02201,0.49,0.41094,0.41218,0.2751,2.05693,1.73629,2.10962,0.009373,0.009373,0.009373
21,14765.6,2.28992,1.36948,2.02089,0.48688,0.41491,0.41765,0.27971,2.03656,1.70355,2.08901,0.00934,0.00934,0.00934
22,15061,2.27202,1.34189,2.02627,0.51954,0.42216,0.42148,0.28629,2.0241,1.75003,2.07721,0.009307,0.009307,0.009307
23,15353.6,2.25477,1.33686,2.01409,0.50005,0.42434,0.42284,0.28637,2.01343,1.75043,2.06185,0.009274,0.009274,0.009274
24,17302.6,2.26626,1.33169,2.01532,0.4943,0.43565,0.43154,0.29324,2.00737,1.71666,2.07007,0.009241,0.009241,0.009241
25,17591,2.26026,1.31655,2.00048,0.52154,0.43566,0.4426,0.30149,1.9856,1.68669,2.05496,0.009208,0.009208,0.009208
26,17885,2.25222,1.30704,1.9961,0.52238,0.44485,0.4508,0.30668,1.97386,1.6736,2.04858,0.009175,0.009175,0.009175
27,18340.2,2.23703,1.27389,1.98917,0.53367,0.45446,0.4533,0.30702,1.97696,1.70624,2.04865,0.009142,0.009142,0.009142
28,18632,2.22561,1.26228,1.98523,0.5196,0.44727,0.45115,0.30774,1.95818,1.69598,2.0281,0.009109,0.009109,0.009109
29,19645.4,2.20974,1.2618,1.97896,0.52759,0.46803,0.46277,0.31503,1.93152,1.61786,2.02926,0.009076,0.009076,0.009076
30,19936.8,2.18473,1.25155,1.9704,0.54145,0.46386,0.46617,0.32027,1.93246,1.62257,2.02833,0.009043,0.009043,0.009043
31,20242.4,2.18549,1.23664,1.98137,0.53731,0.47233,0.47292,0.32255,1.92032,1.59549,2.02227,0.00901,0.00901,0.00901
32,25246.7,2.16621,1.22958,1.95585,0.54392,0.47314,0.47184,0.32443,1.92147,1.56612,2.02157,0.008977,0.008977,0.008977
33,25532.2,2.14908,1.23151,1.95998,0.53743,0.46683,0.47125,0.32332,1.91011,1.58253,2.0104,0.008944,0.008944,0.008944
34,25847.8,2.15587,1.21688,1.96074,0.53942,0.47242,0.47024,0.3252,1.89875,1.58166,2.00229,0.008911,0.008911,0.008911
35,26134.8,2.14917,1.20237,1.94688,0.5623,0.4783,0.48415,0.33284,1.89859,1.56128,2.00382,0.008878,0.008878,0.008878
36,26423.7,2.1479,1.20828,1.94649,0.60357,0.47895,0.47816,0.33064,1.89171,1.58196,1.9972,0.008845,0.008845,0.008845
37,26710.9,2.12279,1.19643,1.9386,0.6167,0.48695,0.49248,0.3393,1.88456,1.57594,1.99373,0.008812,0.008812,0.008812
38,27002.2,2.11521,1.19383,1.94093,0.6166,0.47988,0.49059,0.34029,1.87594,1.57162,1.99049,0.008779,0.008779,0.008779
39,27592.5,2.12794,1.17438,1.93785,0.57265,0.48143,0.495,0.34012,1.87688,1.56292,1.98082,0.008746,0.008746,0.008746
40,27878.6,2.11718,1.17539,1.92732,0.56963,0.49268,0.49655,0.34129,1.87256,1.5778,1.97367,0.008713,0.008713,0.008713
41,29258.9,2.10527,1.1573,1.92486,0.57147,0.49691,0.49958,0.34529,1.86138,1.5547,1.96821,0.00868,0.00868,0.00868
42,29555.2,2.10552,1.16311,1.9295,0.59362,0.49496,0.50863,0.35014,1.86252,1.55077,1.97411,0.008647,0.008647,0.008647
