epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1851.8,5.88551,5.71939,4.80721,0.00287,0.00605,0.00146,0.00034,nan,nan,nan,0.0700089,0.00333235,0.00333235
2,2569.35,4.76236,4.21144,3.40669,0.05909,0.05151,0.03178,0.01317,3.43023,3.74285,2.96635,0.0399869,0.00664368,0.00664368
3,12072.9,3.51925,3.02069,2.67222,0.24422,0.12835,0.1139,0.06315,2.90787,3.24554,2.72137,0.00994289,0.00993302,0.00993302
4,13623.3,3.07338,2.44344,2.49669,0.44999,0.19825,0.19438,0.11967,2.60287,2.73954,2.50392,0.009901,0.009901,0.009901
5,16531,2.82288,2.13188,2.35862,0.40673,0.23671,0.23624,0.15134,2.46285,2.44521,2.42711,0.009868,0.009868,0.009868
1,3365.72,6.07418,5.53139,4.76133,0.00179,0.00052,0.00091,0.00021,5.3916,7.27476,4.38381,0.0700089,0.00333235,0.00333235
2,5497.29,4.99538,4.45886,3.5781,0.0664,0.05572,0.04771,0.02078,3.53188,3.63153,2.97783,0.0399869,0.00664368,0.00664368
3,16153,3.62651,2.99717,2.6361,0.25659,0.13734,0.17816,0.10769,2.98237,3.2179,2.67251,0.00994289,0.00993302,0.00993302
4,17010.6,3.06159,2.36711,2.40168,0.43228,0.20788,0.24733,0.15512,2.59546,2.62131,2.43714,0.009901,0.009901,0.009901
5,22309.6,2.8068,2.02514,2.27233,0.44501,0.26339,0.28305,0.18681,2.44791,2.29735,2.33897,0.009868,0.009868,0.009868
6,26585.5,2.65533,1.83776,2.22672,0.47481,0.27361,0.30556,0.20277,2.33998,2.23588,2.28271,0.009835,0.009835,0.009835
7,27120,2.58427,1.72925,2.17429,0.43456,0.29759,0.32045,0.20979,2.27924,2.175,2.2553,0.009802,0.009802,0.009802
8,29899,2.50293,1.62182,2.14679,0.51924,0.31612,0.34583,0.23521,2.2262,2.00162,2.21997,0.009769,0.009769,0.009769
9,34833,2.44811,1.55026,2.11401,0.47053,0.34727,0.37897,0.25651,2.15726,1.92569,2.18609,0.009736,0.009736,0.009736
10,38501.5,2.35712,1.47626,2.07678,0.53042,0.35205,0.40632,0.275,2.12539,1.84072,2.15277,0.009703,0.009703,0.009703
11,43326.8,2.36158,1.4629,2.06509,0.55173,0.36675,0.4168,0.27993,2.10355,1.84573,2.14921,0.00967,0.00967,0.00967
12,48883.8,2.29717,1.41124,2.04142,0.5072,0.35602,0.40536,0.27858,2.04527,1.77893,2.10957,0.009637,0.009637,0.009637
13,54183.8,2.26912,1.37346,2.02681,0.4882,0.38615,0.41417,0.28538,2.03477,1.72812,2.09842,0.009604,0.009604,0.009604
14,54956.4,2.24107,1.34377,2.01587,0.53557,0.3975,0.43895,0.30012,2.0149,1.67436,2.08162,0.009571,0.009571,0.009571
15,58375.6,2.22139,1.32518,1.99185,0.54501,0.41117,0.43998,0.30584,1.99296,1.63368,2.06406,0.009538,0.009538,0.009538
16,62798.6,2.18325,1.29984,1.97361,0.55,0.4176,0.45354,0.31428,1.95465,1.63794,2.03534,0.009505,0.009505,0.009505
17,66767.4,2.16476,1.27958,1.96188,0.52622,0.4243,0.45827,0.31984,1.93136,1.60954,2.0203,0.009472,0.009472,0.009472
18,67293.1,2.15102,1.26823,1.96242,0.52925,0.4359,0.46672,0.32258,1.91941,1.56495,2.02467,0.009439,0.009439,0.009439
19,71192.7,2.13273,1.23877,1.94316,0.55239,0.4393,0.46726,0.32744,1.89789,1.57423,2.00626,0.009406,0.009406,0.009406
20,71727.3,2.08733,1.21049,1.9183,0.55049,0.45672,0.48777,0.33815,1.90026,1.55968,2.00304,0.009373,0.009373,0.009373
21,72260.5,2.08818,1.20899,1.91676,0.52202,0.4536,0.47591,0.33626,1.86706,1.5151,1.97582,0.00934,0.00934,0.00934
