epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.507,5.16485,4.53012,3.55102,0.02409,0.04284,0.01523,0.00486,4.04778,4.61774,3.15852,0.0700089,0.00333235,0.00333235
2,1081.43,4.12818,3.33809,2.68972,0.29815,0.10346,0.09731,0.05339,3.35807,3.55502,2.64859,0.0399869,0.00664368,0.00664368
3,1388.41,3.51889,2.76709,2.42068,0.33669,0.14895,0.17382,0.10477,2.95278,3.22675,2.45262,0.00994289,0.00993302,0.00993302
4,1658.18,3.08042,2.37217,2.29007,0.47851,0.18785,0.21735,0.13735,2.65471,2.77425,2.32425,0.009901,0.009901,0.009901
5,1952.5,2.85047,2.11978,2.18987,0.40888,0.23101,0.24489,0.16453,2.49918,2.51432,2.2454,0.009868,0.009868,0.009868
6,2233.1,2.70059,1.94954,2.14659,0.40566,0.26284,0.28092,0.185,2.39837,2.3471,2.20535,0.009835,0.009835,0.009835
7,2534,2.63613,1.8534,2.09886,0.3516,0.27496,0.29174,0.19428,2.32329,2.26892,2.17549,0.009802,0.009802,0.009802
8,3579.73,2.56274,1.7526,2.07075,0.48323,0.29765,0.3118,0.20985,2.2725,2.16389,2.13321,0.009769,0.009769,0.009769
9,3871.39,2.51338,1.67486,2.03817,0.47073,0.3041,0.33936,0.23013,2.22877,2.1059,2.09844,0.009736,0.009736,0.009736
10,4839.45,2.42345,1.60681,1.99833,0.42664,0.33322,0.35476,0.23975,2.17153,2.12103,2.05385,0.009703,0.009703,0.009703
11,5135.62,2.42507,1.59046,1.9861,0.51144,0.34371,0.37119,0.24911,2.14861,2.03963,2.04113,0.00967,0.00967,0.00967
12,5721.32,2.35776,1.53565,1.96184,0.47497,0.34738,0.38341,0.26089,2.10695,1.9084,2.02917,0.009637,0.009637,0.009637
13,6017.15,2.33254,1.49283,1.94876,0.51723,0.36099,0.38841,0.26619,2.07259,1.90851,2.00328,0.009604,0.009604,0.009604
14,6291.06,2.30395,1.4618,1.94181,0.52776,0.37169,0.40047,0.27276,2.05189,1.8848,1.9931,0.009571,0.009571,0.009571
15,6571.37,2.29124,1.44233,1.92088,0.48096,0.39322,0.41315,0.2791,2.04684,1.76223,1.97493,0.009538,0.009538,0.009538
16,6847.88,2.25301,1.41211,1.90098,0.4909,0.39031,0.41043,0.28218,2.00914,1.7727,1.95143,0.009505,0.009505,0.009505
17,7140.56,2.23692,1.37852,1.89313,0.53986,0.40674,0.42521,0.2933,1.98239,1.72539,1.94629,0.009472,0.009472,0.009472
18,7413.76,2.21581,1.36791,1.89446,0.5465,0.41012,0.43364,0.29857,1.97848,1.72767,1.94166,0.009439,0.009439,0.009439
19,7697.53,2.20724,1.33791,1.88462,0.54218,0.42283,0.43883,0.30562,1.95878,1.70092,1.93538,0.009406,0.009406,0.009406
20,7972.18,2.16333,1.30765,1.86584,0.51111,0.42601,0.44966,0.31237,1.95047,1.66875,1.92373,0.009373,0.009373,0.009373
21,8256.42,2.16581,1.30947,1.86585,0.52181,0.42896,0.45068,0.31142,1.93625,1.6405,1.91553,0.00934,0.00934,0.00934
22,8529.56,2.15109,1.2813,1.86425,0.59867,0.43734,0.46378,0.32327,1.92718,1.65561,1.89995,0.009307,0.009307,0.009307
23,8814.85,2.13793,1.27402,1.85963,0.53139,0.43846,0.45968,0.32215,1.92099,1.64552,1.89342,0.009274,0.009274,0.009274
24,10084.5,2.13388,1.27232,1.85232,0.599,0.44281,0.47233,0.32609,1.90443,1.62474,1.88806,0.009241,0.009241,0.009241
25,10359.7,2.13154,1.24952,1.84335,0.59695,0.45134,0.47334,0.33005,1.89153,1.59851,1.88138,0.009208,0.009208,0.009208
26,10662.1,2.11727,1.23722,1.83815,0.59253,0.45648,0.48407,0.33745,1.8764,1.5477,1.86653,0.009175,0.009175,0.009175
27,11035.5,2.10414,1.2107,1.83445,0.60408,0.46899,0.48963,0.34033,1.87067,1.58867,1.86763,0.009142,0.009142,0.009142
28,11316.9,2.09579,1.20339,1.8295,0.5566,0.46205,0.49799,0.34627,1.86146,1.55712,1.85927,0.009109,0.009109,0.009109
29,12145,2.0919,1.19701,1.83187,0.61427,0.48895,0.50678,0.35531,1.85072,1.52618,1.86235,0.009076,0.009076,0.009076
30,12419.6,2.06894,1.1975,1.82088,0.6316,0.47511,0.50587,0.35623,1.83559,1.52208,1.85033,0.009043,0.009043,0.009043
31,13206.1,2.05926,1.179,1.82445,0.56389,0.49912,0.51755,0.3649,1.83912,1.51094,1.85025,0.00901,0.00901,0.00901
32,13479.4,2.04779,1.16731,1.81294,0.62703,0.49304,0.52376,0.36753,1.83197,1.50006,1.84784,0.008977,0.008977,0.008977
33,13749.5,2.03416,1.17534,1.81576,0.63033,0.48769,0.51541,0.36773,1.82185,1.49251,1.8407,0.008944,0.008944,0.008944
34,14022.8,2.03525,1.15724,1.80936,0.63687,0.4921,0.52634,0.37124,1.81871,1.48865,1.83411,0.008911,0.008911,0.008911
35,14293.8,2.03009,1.14948,1.80213,0.62717,0.50306,0.539,0.38022,1.8146,1.50642,1.8357,0.008878,0.008878,0.008878
36,14566.1,2.02972,1.15647,1.80709,0.56177,0.51849,0.54017,0.38439,1.81215,1.46598,1.83324,0.008845,0.008845,0.008845
37,14838.5,2.00373,1.14335,1.79489,0.69693,0.50148,0.53659,0.3827,1.79763,1.45288,1.81836,0.008812,0.008812,0.008812
38,15110.4,1.99977,1.1405,1.79992,0.69982,0.49469,0.54485,0.38757,1.78858,1.458,1.8134,0.008779,0.008779,0.008779
39,15553.7,2.00552,1.11856,1.79475,0.69744,0.50431,0.53803,0.38345,1.79458,1.44935,1.81675,0.008746,0.008746,0.008746
40,15825.6,1.99935,1.12077,1.78886,0.71716,0.50689,0.54362,0.38765,1.78417,1.4454,1.81344,0.008713,0.008713,0.008713
41,16097.6,1.9884,1.10939,1.78624,0.71736,0.51438,0.56277,0.40369,1.77973,1.43653,1.80655,0.00868,0.00868,0.00868
42,16369,1.98403,1.10553,1.79014,0.71398,0.51353,0.56357,0.40528,1.77587,1.41234,1.80742,0.008647,0.008647,0.008647
