epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,880.481,2.97968,3.81054,2.7197,0.16634,0.11315,0.07789,0.03887,2.30711,3.68552,2.45842,0.0700089,0.00333235,0.00333235
2,1650.14,2.10092,2.66249,2.0974,0.37587,0.1837,0.17474,0.10265,1.9831,2.91335,2.21028,0.0399869,0.00664368,0.00664368
3,2457.64,1.87864,2.26517,1.95784,0.4057,0.2003,0.21385,0.13813,1.8306,2.81507,2.09274,0.00994289,0.00993302,0.00993302
4,3344.69,1.72434,2.00269,1.88784,0.43392,0.26085,0.26312,0.1721,1.68034,2.35684,1.99193,0.009901,0.009901,0.009901
5,4028.25,1.63104,1.82651,1.80799,0.44923,0.30148,0.30037,0.20004,1.617,2.11956,1.94302,0.009868,0.009868,0.009868
6,4742.55,1.5615,1.70381,1.77529,0.48027,0.31798,0.32813,0.22013,1.52802,2.05333,1.87921,0.009835,0.009835,0.009835
7,5422.9,1.52801,1.64224,1.73274,0.45026,0.31289,0.32745,0.22022,1.49555,2.06405,1.85804,0.009802,0.009802,0.009802
8,6117.41,1.48638,1.56283,1.70236,0.49342,0.35849,0.35447,0.24009,1.4757,1.94936,1.8192,0.009769,0.009769,0.009769
9,6811.1,1.45805,1.4988,1.67289,0.51868,0.37167,0.37747,0.25901,1.43423,1.85818,1.79859,0.009736,0.009736,0.009736
10,9373.46,1.422,1.44862,1.64428,0.47887,0.38487,0.41104,0.28436,1.40862,1.83356,1.76963,0.009703,0.009703,0.009703
11,10059.7,1.41195,1.4304,1.62648,0.57871,0.38434,0.41991,0.28889,1.38197,1.78143,1.74253,0.00967,0.00967,0.00967
12,10755.1,1.3909,1.39277,1.6112,0.55977,0.407,0.41714,0.28435,1.37999,1.82415,1.7325,0.009637,0.009637,0.009637
13,11431.4,1.37371,1.35736,1.60457,0.54247,0.40745,0.43401,0.30087,1.35443,1.70438,1.72417,0.009604,0.009604,0.009604
14,12091.4,1.35836,1.33399,1.59509,0.52383,0.43472,0.43933,0.30452,1.3445,1.76242,1.70183,0.009571,0.009571,0.009571
15,12786,1.34651,1.30514,1.57093,0.58259,0.43605,0.44935,0.31264,1.33094,1.61175,1.69738,0.009538,0.009538,0.009538
16,16926.9,1.32876,1.28369,1.56611,0.56506,0.45569,0.4538,0.31893,1.30287,1.66827,1.68557,0.009505,0.009505,0.009505
17,17630.9,1.32016,1.26565,1.55269,0.60243,0.46246,0.47383,0.33295,1.29333,1.57317,1.6747,0.009472,0.009472,0.009472
18,18294.1,1.30566,1.25036,1.55318,0.59735,0.48183,0.47685,0.33484,1.28162,1.5748,1.66144,0.009439,0.009439,0.009439
19,18961.5,1.30356,1.23136,1.54574,0.59887,0.48316,0.47711,0.33407,1.27659,1.58267,1.66143,0.009406,0.009406,0.009406
20,19626.3,1.28319,1.20244,1.53396,0.61125,0.46565,0.48514,0.33777,1.26937,1.53929,1.64775,0.009373,0.009373,0.009373
21,23905.5,1.28416,1.20224,1.52349,0.54177,0.49093,0.49283,0.34947,1.25521,1.53233,1.63696,0.00934,0.00934,0.00934
22,24587.9,1.27683,1.18253,1.52856,0.67526,0.4879,0.50685,0.35846,1.24797,1.55983,1.62985,0.009307,0.009307,0.009307
23,25261.4,1.2588,1.16546,1.51718,0.61081,0.47833,0.49471,0.35248,1.24618,1.50226,1.62751,0.009274,0.009274,0.009274
24,25933.2,1.26102,1.16412,1.51424,0.66889,0.48979,0.50385,0.35799,1.23883,1.5109,1.61676,0.009241,0.009241,0.009241
