epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7875.74,3.227,4.5026,3.49547,0.44148,0.06505,0.05008,0.02348,2.50704,3.93986,3.17104,0.0700089,0.00333235,0.00333235
2,15409.2,2.19894,3.10733,2.65855,0.2901,0.12531,0.11431,0.0694,1.99855,3.33829,2.77004,0.0399869,0.00664368,0.00664368
1,7920.88,3.227,4.5026,3.49547,0.4415,0.066,0.05063,0.02371,2.50704,3.93986,3.17104,0.0700089,0.00333235,0.00333235
1,5484.92,3.16084,4.25201,3.44908,0.15743,0.06992,0.05874,0.02685,2.53731,3.77444,3.18606,0.0700089,0.00333235,0.00333235
1,15557,3.00324,4.44927,3.43329,0.24329,0.06998,0.05619,0.02607,2.36959,3.91859,3.16018,0.0700089,0.00333235,0.00333235
1,697.16,3.27941,4.08393,2.92447,0.52152,0.06791,0.03916,0.01675,2.66211,3.90845,2.66675,0.0700089,0.00333235,0.00333235
2,1023.68,2.29276,2.88851,2.21303,0.43565,0.16615,0.15892,0.09143,2.12076,3.21977,2.28201,0.0399869,0.00664368,0.00664368
3,1344.8,1.96816,2.36072,2.01298,0.41952,0.21256,0.21216,0.13606,1.88807,2.76543,2.14756,0.00994289,0.00993302,0.00993302
4,1654.69,1.77208,2.0284,1.92004,0.52216,0.25323,0.26652,0.17456,1.72889,2.37843,2.03517,0.009901,0.009901,0.009901
5,3656.47,1.65458,1.81405,1.83158,0.49124,0.30919,0.3137,0.20385,1.62178,2.13867,1.96297,0.009868,0.009868,0.009868
6,3979.92,1.57427,1.68414,1.79663,0.42398,0.33288,0.34338,0.22832,1.56423,2.01988,1.90291,0.009835,0.009835,0.009835
7,4334.82,1.53315,1.60849,1.74536,0.4259,0.35622,0.34873,0.22792,1.50987,2.0208,1.87125,0.009802,0.009802,0.009802
8,6316.28,1.48404,1.52299,1.71675,0.51475,0.36978,0.38842,0.26075,1.49314,1.87143,1.84152,0.009769,0.009769,0.009769
9,6639,1.45547,1.46414,1.68497,0.5443,0.40915,0.40578,0.27258,1.4424,1.81446,1.81641,0.009736,0.009736,0.009736
10,6956.98,1.41435,1.40288,1.65027,0.48977,0.41574,0.4235,0.28669,1.41352,1.78455,1.77175,0.009703,0.009703,0.009703
11,7284.93,1.40266,1.38841,1.63596,0.51714,0.41961,0.43594,0.29506,1.39407,1.7137,1.75388,0.00967,0.00967,0.00967
12,8809.68,1.38115,1.34706,1.62269,0.57604,0.41572,0.43264,0.29608,1.37629,1.75508,1.75045,0.009637,0.009637,0.009637
13,9150.93,1.36421,1.31344,1.61333,0.57326,0.44797,0.44843,0.30564,1.34393,1.67532,1.73485,0.009604,0.009604,0.009604
14,9461.21,1.35074,1.29054,1.60388,0.58329,0.44645,0.44883,0.30686,1.33154,1.66255,1.71309,0.009571,0.009571,0.009571
15,9772.85,1.33652,1.26838,1.58418,0.60753,0.46385,0.47022,0.32198,1.32285,1.58697,1.69243,0.009538,0.009538,0.009538
16,10089.6,1.3183,1.24241,1.57479,0.65158,0.47465,0.47387,0.3279,1.30109,1.63166,1.68752,0.009505,0.009505,0.009505
17,11990,1.31517,1.22675,1.56723,0.61307,0.51071,0.4884,0.33498,1.29578,1.59028,1.68231,0.009472,0.009472,0.009472
18,12298,1.29801,1.21376,1.5655,0.6111,0.48054,0.4809,0.33588,1.28171,1.54978,1.66859,0.009439,0.009439,0.009439
19,12613.4,1.29463,1.19544,1.55812,0.66939,0.46072,0.48517,0.33853,1.27669,1.56661,1.66544,0.009406,0.009406,0.009406
20,12923.4,1.27427,1.16605,1.54352,0.59252,0.4742,0.48216,0.33716,1.26772,1.5345,1.64915,0.009373,0.009373,0.009373
21,13232.8,1.27348,1.16851,1.53275,0.68746,0.48411,0.50456,0.35172,1.25257,1.50749,1.6414,0.00934,0.00934,0.00934
22,13545.1,1.26805,1.14748,1.53933,0.61164,0.49282,0.50387,0.35773,1.24412,1.50956,1.6405,0.009307,0.009307,0.009307
23,15680.1,1.25681,1.14191,1.5338,0.67642,0.49012,0.5115,0.36087,1.24408,1.4935,1.6289,0.009274,0.009274,0.009274
24,16005.5,1.25395,1.14268,1.52795,0.67268,0.49835,0.50773,0.36018,1.23759,1.4902,1.63613,0.009241,0.009241,0.009241
25,16315.7,1.2457,1.12587,1.51256,0.67919,0.49841,0.50457,0.35733,1.22336,1.48174,1.62213,0.009208,0.009208,0.009208
26,16669,1.2445,1.11392,1.51148,0.66014,0.5106,0.52058,0.36736,1.21221,1.46181,1.60909,0.009175,0.009175,0.009175
27,17685.1,1.23431,1.08993,1.50373,0.68884,0.50917,0.51878,0.36722,1.21176,1.44409,1.60774,0.009142,0.009142,0.009142
28,18002.9,1.23096,1.08616,1.50326,0.66633,0.51323,0.5061,0.3605,1.20207,1.45472,1.60952,0.009109,0.009109,0.009109
29,18320.1,1.22803,1.07957,1.50129,0.67954,0.52599,0.53085,0.38026,1.19147,1.42891,1.59857,0.009076,0.009076,0.009076
30,18633.4,1.21708,1.07854,1.49401,0.69654,0.53069,0.53379,0.37979,1.1893,1.44582,1.59008,0.009043,0.009043,0.009043
31,18946.2,1.21191,1.06458,1.49604,0.69742,0.51717,0.53421,0.38132,1.18677,1.43324,1.59545,0.00901,0.00901,0.00901
32,21670.7,1.20779,1.05945,1.48899,0.68702,0.52934,0.54496,0.39199,1.18298,1.44495,1.59014,0.008977,0.008977,0.008977
33,21979,1.2033,1.06029,1.49797,0.70645,0.53414,0.54865,0.39396,1.17754,1.40199,1.58618,0.008944,0.008944,0.008944
34,22318.5,1.19713,1.04444,1.48388,0.70466,0.54234,0.55714,0.39865,1.17207,1.38568,1.57987,0.008911,0.008911,0.008911
35,22628.2,1.19292,1.03669,1.47559,0.72404,0.53519,0.55266,0.39929,1.16878,1.3725,1.57835,0.008878,0.008878,0.008878
36,22939.2,1.19706,1.04611,1.47966,0.72371,0.53553,0.55843,0.40243,1.16865,1.36585,1.57537,0.008845,0.008845,0.008845
37,23253.3,1.18546,1.03815,1.47135,0.68069,0.5433,0.56323,0.40632,1.16522,1.37199,1.57109,0.008812,0.008812,0.008812
38,25247.1,1.17755,1.02762,1.47054,0.71383,0.54232,0.57935,0.41625,1.1631,1.36099,1.56993,0.008779,0.008779,0.008779
39,25558.9,1.17808,1.00822,1.46675,0.66932,0.56069,0.58383,0.4193,1.1608,1.3501,1.56971,0.008746,0.008746,0.008746
40,25872.1,1.17783,1.01299,1.46232,0.7162,0.54719,0.58367,0.41612,1.15476,1.36475,1.56352,0.008713,0.008713,0.008713
41,26190.5,1.17395,1.0066,1.46163,0.72095,0.54397,0.57553,0.41704,1.15203,1.33195,1.56353,0.00868,0.00868,0.00868
42,28857.6,1.1702,1.00606,1.46109,0.70836,0.567,0.59045,0.42367,1.14897,1.33393,1.56212,0.008647,0.008647,0.008647
43,29168.2,1.16428,1.00437,1.46001,0.71284,0.55444,0.59683,0.42711,1.14353,1.3192,1.55368,0.008614,0.008614,0.008614
44,29476.8,1.15693,1.00147,1.4542,0.75617,0.54187,0.59311,0.42638,1.13778,1.32366,1.54893,0.008581,0.008581,0.008581
45,29795.2,1.1668,0.99832,1.45168,0.73402,0.5499,0.59893,0.4305,1.13873,1.29809,1.55037,0.008548,0.008548,0.008548
46,30104.4,1.1557,0.98843,1.4563,0.70126,0.5799,0.59495,0.42937,1.13573,1.29244,1.54931,0.008515,0.008515,0.008515
