epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.898,2.09791,1.43756,1.77995,0.61007,0.57356,0.60402,0.4626,1.73308,1.23737,1.75933,0.0700089,0.00333235,0.00333235
2,576.715,1.96187,1.00825,1.75803,0.59107,0.56195,0.58567,0.43266,1.72357,1.33768,1.77209,0.0399869,0.00664368,0.00664368
3,2997.31,1.90239,1.00092,1.76548,0.65497,0.54426,0.55555,0.41021,1.79574,1.41664,1.80669,0.00994289,0.00993302,0.00993302
4,3242.35,1.90737,1.04789,1.78258,0.67698,0.52016,0.54685,0.39662,1.77506,1.38473,1.813,0.009901,0.009901,0.009901
5,3491.07,1.90441,1.02969,1.78072,0.64708,0.5171,0.56128,0.40674,1.74417,1.36295,1.8214,0.009868,0.009868,0.009868
6,3736.87,1.88342,1.01596,1.78475,0.65269,0.55875,0.58417,0.41907,1.75637,1.33995,1.80858,0.009835,0.009835,0.009835
7,4017.21,1.88888,1.0003,1.76635,0.72042,0.55262,0.57705,0.41153,1.75399,1.33668,1.81458,0.009802,0.009802,0.009802
8,5254.08,1.86173,0.98399,1.74978,0.65823,0.54811,0.57716,0.41842,1.72902,1.31113,1.78237,0.009769,0.009769,0.009769
9,5502.22,1.85076,0.96485,1.73088,0.70706,0.5684,0.577,0.42199,1.71585,1.24915,1.76945,0.009736,0.009736,0.009736
10,5752.84,1.81114,0.94463,1.71707,0.74227,0.57069,0.60343,0.43823,1.69482,1.261,1.76411,0.009703,0.009703,0.009703
11,6014.16,1.84189,0.96056,1.71991,0.73812,0.58346,0.60906,0.44156,1.69841,1.31229,1.76378,0.00967,0.00967,0.00967
12,6914.96,1.80882,0.94513,1.71648,0.75528,0.56153,0.60564,0.4438,1.71972,1.28467,1.7749,0.009637,0.009637,0.009637
13,7173.86,1.80889,0.93691,1.71163,0.72469,0.58058,0.60941,0.45085,1.67277,1.22373,1.74445,0.009604,0.009604,0.009604
14,7418.6,1.80139,0.93059,1.71303,0.67455,0.60489,0.61674,0.45904,1.65778,1.19203,1.72875,0.009571,0.009571,0.009571
15,7670.77,1.80368,0.92088,1.70935,0.76237,0.59791,0.63167,0.46358,1.65228,1.19262,1.73781,0.009538,0.009538,0.009538
16,7918.34,1.78892,0.91286,1.6977,0.6792,0.61332,0.63162,0.46395,1.66017,1.18553,1.73834,0.009505,0.009505,0.009505
17,9895.25,1.78944,0.91603,1.69915,0.75669,0.59602,0.62462,0.46215,1.64415,1.20695,1.73215,0.009472,0.009472,0.009472
18,10139.3,1.77985,0.91308,1.70703,0.76572,0.58308,0.62112,0.46135,1.64629,1.19487,1.73901,0.009439,0.009439,0.009439
19,10396.5,1.77882,0.89981,1.7003,0.77296,0.56915,0.61718,0.45602,1.64528,1.1933,1.7414,0.009406,0.009406,0.009406
20,10643,1.75266,0.88873,1.68759,0.75891,0.59338,0.64369,0.47014,1.6438,1.17277,1.74162,0.009373,0.009373,0.009373
21,10910.5,1.76743,0.8944,1.69087,0.76652,0.59826,0.63645,0.46948,1.63141,1.15519,1.72316,0.00934,0.00934,0.00934
22,11157.8,1.75849,0.88555,1.69289,0.70226,0.62404,0.63189,0.46804,1.63795,1.17715,1.72159,0.009307,0.009307,0.009307
23,12067.9,1.75489,0.88993,1.69281,0.74255,0.60378,0.62764,0.4664,1.61495,1.14072,1.71838,0.009274,0.009274,0.009274
24,12333.8,1.75848,0.88596,1.69357,0.63698,0.68425,0.66621,0.48358,1.6248,1.15249,1.72369,0.009241,0.009241,0.009241
25,12579.6,1.76261,0.88512,1.68685,0.7466,0.61505,0.64931,0.48118,1.61032,1.14357,1.71543,0.009208,0.009208,0.009208
26,12859.5,1.76286,0.88334,1.68957,0.75637,0.62553,0.67377,0.50004,1.61389,1.14428,1.71752,0.009175,0.009175,0.009175
27,13304.2,1.75246,0.8704,1.68903,0.76823,0.61061,0.66253,0.48979,1.61023,1.13128,1.71847,0.009142,0.009142,0.009142
28,13556.4,1.74957,0.86901,1.68408,0.78175,0.59547,0.65878,0.48623,1.60435,1.13005,1.71478,0.009109,0.009109,0.009109
29,14894.2,1.74819,0.86324,1.68473,0.74502,0.6301,0.67261,0.49758,1.59642,1.1275,1.71186,0.009076,0.009076,0.009076
30,15162.7,1.73436,0.86982,1.67843,0.76767,0.62575,0.66599,0.49658,1.5916,1.11111,1.70666,0.009043,0.009043,0.009043
31,16149.7,1.72919,0.86197,1.68409,0.72381,0.63818,0.66859,0.49431,1.59487,1.10353,1.70331,0.00901,0.00901,0.00901
32,16411.1,1.72152,0.854,1.67502,0.72108,0.62561,0.68242,0.51101,1.59202,1.08356,1.6994,0.008977,0.008977,0.008977
33,16655.1,1.71545,0.86635,1.67851,0.78586,0.61044,0.6603,0.49424,1.59385,1.11666,1.71246,0.008944,0.008944,0.008944
34,16906.1,1.71495,0.85624,1.67284,0.71887,0.64141,0.65353,0.48774,1.58666,1.09553,1.69747,0.008911,0.008911,0.008911
35,17151.1,1.72043,0.85268,1.6715,0.79148,0.6143,0.67654,0.50851,1.58894,1.09483,1.70417,0.008878,0.008878,0.008878
36,17398.3,1.71905,0.8606,1.67136,0.69325,0.70138,0.69213,0.5139,1.58257,1.08911,1.70091,0.008845,0.008845,0.008845
37,17646.9,1.7067,0.85163,1.66623,0.68862,0.68175,0.69013,0.51384,1.58283,1.08172,1.70101,0.008812,0.008812,0.008812
38,19353,1.70326,0.84741,1.67179,0.78278,0.61515,0.68709,0.51395,1.57335,1.08852,1.69486,0.008779,0.008779,0.008779
39,19599.6,1.7069,0.84229,1.66891,0.78621,0.62586,0.69859,0.51797,1.56999,1.08118,1.69936,0.008746,0.008746,0.008746
40,19846.3,1.70924,0.84505,1.66606,0.77729,0.61744,0.69836,0.51776,1.5764,1.07945,1.69876,0.008713,0.008713,0.008713
41,20099.4,1.70387,0.84592,1.66557,0.77743,0.63148,0.69103,0.5183,1.57019,1.0685,1.69256,0.00868,0.00868,0.00868
42,21729.1,1.70352,0.84613,1.6693,0.79009,0.62365,0.69447,0.52,1.56732,1.06289,1.69707,0.008647,0.008647,0.008647
43,21976.6,1.68723,0.84359,1.66632,0.7989,0.6216,0.6868,0.51921,1.56907,1.05939,1.69682,0.008614,0.008614,0.008614
44,22220.5,1.67314,0.83775,1.6593,0.80618,0.60988,0.71105,0.53429,1.5664,1.05734,1.69044,0.008581,0.008581,0.008581
45,22471.2,1.71131,0.84113,1.66282,0.61528,0.73144,0.70614,0.52992,1.56361,1.06785,1.68862,0.008548,0.008548,0.008548
46,22716.3,1.68766,0.83524,1.65837,0.63946,0.72763,0.71071,0.53081,1.56479,1.06216,1.68655,0.008515,0.008515,0.008515
47,22968.8,1.6981,0.83738,1.65768,0.62298,0.73497,0.7072,0.5329,1.56249,1.06414,1.68663,0.008482,0.008482,0.008482
48,23271.7,1.69828,0.83844,1.65778,0.70334,0.69713,0.70818,0.52969,1.56189,1.06077,1.68928,0.008449,0.008449,0.008449
49,23521.5,1.66987,0.83388,1.65729,0.71732,0.685,0.70908,0.52766,1.5591,1.05673,1.68772,0.008416,0.008416,0.008416
50,23769.8,1.69656,0.82555,1.66278,0.68366,0.69618,0.70803,0.52841,1.5595,1.05738,1.68882,0.008383,0.008383,0.008383
51,24027.3,1.68204,0.82755,1.66001,0.69129,0.69503,0.70286,0.52509,1.56287,1.05107,1.69041,0.00835,0.00835,0.00835
52,24271.8,1.69082,0.83285,1.66235,0.64469,0.71578,0.70584,0.52598,1.56024,1.04608,1.68725,0.008317,0.008317,0.008317
53,24524.4,1.68142,0.8276,1.65637,0.75685,0.63601,0.70868,0.53168,1.55595,1.04167,1.68419,0.008284,0.008284,0.008284
