epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3297.61,3.53,4.53958,3.22294,0.32014,0.03977,0.02394,0.01006,2.71681,3.78006,2.7735,0.0700089,0.00333235,0.00333235
2,6132.34,2.26551,2.97338,2.25252,0.29288,0.13982,0.12979,0.07461,2.05136,3.21965,2.29376,0.0399869,0.00664368,0.00664368
3,9049.82,1.93463,2.35812,2.02599,0.37416,0.19915,0.19743,0.12449,1.85698,2.72897,2.16044,0.00994289,0.00993302,0.00993302
4,11351.7,1.74604,2.01278,1.92806,0.40335,0.25887,0.25724,0.16654,1.68793,2.30683,2.01762,0.009901,0.009901,0.009901
5,14160.5,1.62611,1.7851,1.83532,0.41194,0.27485,0.29148,0.19193,1.60778,2.15452,1.97702,0.009868,0.009868,0.009868
6,16013.1,1.54387,1.64683,1.80349,0.52472,0.31869,0.34098,0.22756,1.53314,2.00318,1.90916,0.009835,0.009835,0.009835
7,17777.7,1.49973,1.56984,1.75602,0.47122,0.32575,0.34198,0.22322,1.48031,2.05322,1.86955,0.009802,0.009802,0.009802
8,19387.7,1.46469,1.49307,1.72644,0.53833,0.35123,0.3716,0.25206,1.45214,1.86022,1.83862,0.009769,0.009769,0.009769
9,20907.3,1.43414,1.43044,1.69228,0.4731,0.39098,0.39803,0.27092,1.42912,1.79259,1.84119,0.009736,0.009736,0.009736
10,22394.3,1.40082,1.3788,1.66885,0.53501,0.39223,0.41261,0.27939,1.38907,1.72566,1.77515,0.009703,0.009703,0.009703
11,23842.6,1.39108,1.36287,1.64401,0.5294,0.41102,0.43591,0.29599,1.37688,1.6946,1.77118,0.00967,0.00967,0.00967
12,25398.6,1.3714,1.3229,1.62861,0.52433,0.41181,0.42737,0.29084,1.36335,1.73653,1.75916,0.009637,0.009637,0.009637
13,26707.1,1.35431,1.29127,1.61195,0.51543,0.4394,0.44492,0.30788,1.34247,1.62482,1.74156,0.009604,0.009604,0.009604
14,27954.8,1.33604,1.26324,1.60377,0.54812,0.43528,0.45922,0.31966,1.31992,1.60954,1.71049,0.009571,0.009571,0.009571
15,30686.4,1.32827,1.24368,1.58346,0.61314,0.46883,0.47842,0.33116,1.30798,1.52305,1.69753,0.009538,0.009538,0.009538
16,32330.5,1.31026,1.21928,1.57412,0.604,0.48685,0.48811,0.3367,1.29206,1.53382,1.69124,0.009505,0.009505,0.009505
17,34447.5,1.30667,1.20871,1.56721,0.66589,0.46157,0.47288,0.33121,1.27854,1.48585,1.67872,0.009472,0.009472,0.009472
18,36612.6,1.28939,1.19351,1.56536,0.60717,0.49027,0.49987,0.35012,1.27668,1.48895,1.68418,0.009439,0.009439,0.009439
19,39048.3,1.28458,1.16947,1.55181,0.6118,0.48727,0.50067,0.35247,1.2576,1.4561,1.66008,0.009406,0.009406,0.009406
