epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2377.97,4.42725,5.42997,4.11753,0.00092,0.01841,0.00049,0.00011,4.02474,10.6337,3.91071,0.0700089,0.00333235,0.00333235
2,3048.5,3.41431,4.36008,3.08179,0.129,0.06151,0.04001,0.0175,2.66695,3.83005,2.71848,0.0399869,0.00664368,0.00664368
3,10515.6,2.31438,2.98475,2.2494,0.43219,0.14876,0.16161,0.09557,2.02775,3.1507,2.26029,0.00994289,0.00993302,0.00993302
4,11353.8,1.90619,2.29651,2.01542,0.50723,0.22658,0.23229,0.15218,1.79563,2.52262,2.10805,0.009901,0.009901,0.009901
5,11847.6,1.73428,1.97011,1.88802,0.5015,0.26496,0.27962,0.17672,1.6897,2.31294,1.994,0.009868,0.009868,0.009868
6,16043.6,1.63064,1.78384,1.84253,0.54183,0.30567,0.32443,0.21306,1.59648,2.09893,1.93401,0.009835,0.009835,0.009835
7,16598.2,1.58666,1.68613,1.78407,0.42603,0.32099,0.33572,0.21603,1.55366,2.12687,1.90468,0.009802,0.009802,0.009802
8,17149.9,1.52729,1.58136,1.74451,0.54987,0.33675,0.35981,0.23984,1.50654,1.93832,1.8511,0.009769,0.009769,0.009769
9,17656.4,1.49301,1.51194,1.70915,0.48495,0.38174,0.38971,0.25944,1.45692,1.88042,1.80511,0.009736,0.009736,0.009736
10,18189.8,1.44526,1.43839,1.66982,0.50253,0.37549,0.40855,0.2752,1.43606,1.80003,1.78476,0.009703,0.009703,0.009703
11,22170.6,1.43719,1.42352,1.64884,0.53288,0.38629,0.42141,0.28516,1.41353,1.75632,1.76397,0.00967,0.00967,0.00967
12,22659.4,1.40479,1.37158,1.62581,0.54305,0.41768,0.43518,0.29153,1.38483,1.75309,1.73928,0.009637,0.009637,0.009637
13,23152.9,1.38547,1.33777,1.61329,0.54068,0.4286,0.44748,0.30402,1.37399,1.63285,1.73137,0.009604,0.009604,0.009604
14,23630.6,1.36392,1.30115,1.5961,0.53738,0.42814,0.45501,0.30989,1.34574,1.64908,1.70129,0.009571,0.009571,0.009571
15,24111.6,1.34752,1.27695,1.57379,0.54035,0.43337,0.46658,0.31923,1.3369,1.57889,1.69055,0.009538,0.009538,0.009538
16,24591.4,1.33463,1.25513,1.56802,0.60853,0.47266,0.4785,0.32842,1.30746,1.61571,1.67877,0.009505,0.009505,0.009505
17,25080,1.32216,1.23765,1.55246,0.58553,0.48003,0.48059,0.33435,1.29504,1.57047,1.66504,0.009472,0.009472,0.009472
18,25554.3,1.30296,1.22178,1.55218,0.61291,0.46766,0.49415,0.34215,1.28521,1.51306,1.66194,0.009439,0.009439,0.009439
19,26044.5,1.30042,1.1898,1.53941,0.61463,0.4684,0.49329,0.3428,1.26989,1.53102,1.64123,0.009406,0.009406,0.009406
20,26531.8,1.27609,1.16468,1.52995,0.60728,0.48705,0.50178,0.34734,1.26827,1.48206,1.63559,0.009373,0.009373,0.009373
21,27021.9,1.27597,1.15791,1.51506,0.67963,0.486,0.50272,0.35236,1.25075,1.47425,1.62529,0.00934,0.00934,0.00934
22,29474,1.26779,1.13635,1.51801,0.6728,0.4862,0.51105,0.35837,1.24886,1.44772,1.6201,0.009307,0.009307,0.009307
23,29950.9,1.2531,1.12614,1.50899,0.67359,0.48364,0.50863,0.35845,1.24139,1.44234,1.62251,0.009274,0.009274,0.009274
24,30428.3,1.25128,1.12536,1.50459,0.6857,0.50406,0.5215,0.36543,1.23385,1.41635,1.61689,0.009241,0.009241,0.009241
25,30912.9,1.24519,1.11011,1.48821,0.6949,0.50039,0.52058,0.36683,1.21769,1.41455,1.59874,0.009208,0.009208,0.009208
26,31400.2,1.23877,1.09926,1.48749,0.68473,0.52086,0.53272,0.3761,1.21724,1.36732,1.60006,0.009175,0.009175,0.009175
27,34480.2,1.22741,1.07352,1.47631,0.69837,0.51849,0.53663,0.38023,1.21026,1.38657,1.5913,0.009142,0.009142,0.009142
