epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.299,4.8773,4.24293,3.39278,0.05535,0.07062,0.04173,0.01965,3.68251,4.12342,2.92754,0.0700089,0.00333235,0.00333235
2,1151.07,3.80116,3.17555,2.62593,0.20677,0.12243,0.12303,0.06794,3.13327,3.49615,2.60287,0.0399869,0.00664368,0.00664368
3,1406.69,3.32123,2.63733,2.40184,0.4101,0.16959,0.19339,0.11899,2.83576,3.24872,2.45714,0.00994289,0.00993302,0.00993302
4,1653.31,2.99237,2.2742,2.28166,0.44882,0.21286,0.23944,0.15173,2.60096,2.8858,2.32438,0.009901,0.009901,0.009901
5,1915.98,2.79415,2.03477,2.19388,0.46362,0.2407,0.29431,0.18662,2.49131,2.48759,2.2694,0.009868,0.009868,0.009868
6,2155.25,2.66692,1.88685,2.16469,0.47434,0.24813,0.2931,0.19207,2.39194,2.4603,2.22544,0.009835,0.009835,0.009835
7,2514.6,2.61314,1.79741,2.12291,0.35726,0.27754,0.29339,0.19245,2.3243,2.48948,2.1865,0.009802,0.009802,0.009802
8,3387.12,2.53663,1.70045,2.09784,0.43402,0.29808,0.29662,0.20281,2.28438,2.25907,2.16293,0.009769,0.009769,0.009769
9,3626.81,2.48801,1.63641,2.06046,0.42027,0.31059,0.33286,0.22904,2.21109,2.15592,2.12355,0.009736,0.009736,0.009736
10,3866.54,2.3995,1.57329,2.01597,0.4383,0.32378,0.3496,0.23838,2.19457,2.13795,2.10457,0.009703,0.009703,0.009703
11,6336,2.40831,1.5603,2.00204,0.46257,0.34809,0.36513,0.2448,2.18053,2.07556,2.08288,0.00967,0.00967,0.00967
12,6583.5,2.34924,1.50773,1.98054,0.46542,0.36592,0.39445,0.26994,2.11895,2.02495,2.06245,0.009637,0.009637,0.009637
13,7628.89,2.33153,1.47481,1.9688,0.47334,0.35754,0.37425,0.25192,2.10352,2.06615,2.05498,0.009604,0.009604,0.009604
14,7866.06,2.2962,1.44158,1.95503,0.53796,0.36977,0.40233,0.27272,2.06865,1.95212,2.02796,0.009571,0.009571,0.009571
15,8114.57,2.29085,1.42851,1.93905,0.49436,0.38879,0.41262,0.28289,2.05675,1.86822,2.00456,0.009538,0.009538,0.009538
16,8361.43,2.24239,1.39621,1.91401,0.46773,0.3941,0.39964,0.27381,2.02562,1.87627,1.99002,0.009505,0.009505,0.009505
17,8606.04,2.23487,1.3708,1.90722,0.48578,0.40235,0.41551,0.28665,2.01322,1.8476,1.98034,0.009472,0.009472,0.009472
18,8843.33,2.22012,1.35967,1.9127,0.50407,0.41429,0.43386,0.29642,1.99572,1.78667,1.97611,0.009439,0.009439,0.009439
19,9087.6,2.20207,1.33657,1.89466,0.47883,0.41595,0.43044,0.30165,1.98042,1.80547,1.9648,0.009406,0.009406,0.009406
20,9344.53,2.16788,1.31104,1.87868,0.49888,0.41767,0.43455,0.29708,1.97601,1.77235,1.9553,0.009373,0.009373,0.009373
