epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.087,2.15605,1.52352,1.78316,0.59759,0.5385,0.58721,0.45055,1.74746,1.32265,1.74771,0.0700089,0.00333235,0.00333235
2,910.904,2.00529,1.06382,1.73321,0.60952,0.55512,0.59501,0.44894,1.71475,1.32765,1.74073,0.0399869,0.00664368,0.00664368
3,1154.96,1.86,1.01074,1.71321,0.64997,0.53989,0.56254,0.41905,1.71836,1.38763,1.76309,0.00994289,0.00993302,0.00993302
4,1385.81,1.85941,1.04121,1.7348,0.62127,0.5034,0.5509,0.40392,1.73145,1.38879,1.79977,0.009901,0.009901,0.009901
5,1618.83,1.85049,1.02221,1.7272,0.59214,0.55228,0.58709,0.4322,1.70869,1.35518,1.75743,0.009868,0.009868,0.009868
6,1849.82,1.83304,1.00811,1.72866,0.59733,0.54034,0.57109,0.42846,1.70342,1.3527,1.75162,0.009835,0.009835,0.009835
7,2084.32,1.84797,0.98939,1.7236,0.72598,0.55602,0.58576,0.4288,1.71054,1.3311,1.80973,0.009802,0.009802,0.009802
8,2320.92,1.83906,0.98278,1.72945,0.71441,0.57414,0.60518,0.44364,1.68701,1.31798,1.74596,0.009769,0.009769,0.009769
9,2556.33,1.83248,0.96086,1.72075,0.71581,0.55926,0.58021,0.43594,1.69312,1.28568,1.75059,0.009736,0.009736,0.009736
10,3643.99,1.79471,0.94833,1.70362,0.72646,0.57044,0.61627,0.46183,1.67185,1.24875,1.73365,0.009703,0.009703,0.009703
11,3881.41,1.82832,0.95581,1.71255,0.61677,0.57322,0.59874,0.44814,1.69136,1.26074,1.75822,0.00967,0.00967,0.00967
12,4117.33,1.79873,0.94433,1.7082,0.62099,0.56857,0.6034,0.4553,1.67,1.24566,1.74894,0.009637,0.009637,0.009637
13,5242.5,1.7995,0.93882,1.70627,0.59921,0.59028,0.61221,0.45759,1.65769,1.2643,1.74427,0.009604,0.009604,0.009604
14,5475.1,1.7917,0.92964,1.70773,0.67358,0.58003,0.60694,0.45401,1.6504,1.21586,1.73345,0.009571,0.009571,0.009571
15,5710.01,1.8012,0.927,1.70602,0.67868,0.58343,0.62294,0.46133,1.64977,1.21778,1.74054,0.009538,0.009538,0.009538
16,7803.26,1.78467,0.91775,1.69609,0.62448,0.58608,0.62042,0.46277,1.64915,1.19169,1.73617,0.009505,0.009505,0.009505
17,8039.79,1.7828,0.9174,1.69609,0.69148,0.58877,0.62423,0.46687,1.63496,1.19648,1.72611,0.009472,0.009472,0.009472
18,8270.88,1.78013,0.91791,1.7033,0.64333,0.58709,0.61948,0.46566,1.63252,1.17513,1.74689,0.009439,0.009439,0.009439
19,8505.4,1.77571,0.90407,1.70085,0.663,0.59741,0.62317,0.47059,1.63314,1.17707,1.73814,0.009406,0.009406,0.009406
20,8741.25,1.75543,0.89255,1.69076,0.67991,0.58338,0.61341,0.4654,1.61556,1.17342,1.71769,0.009373,0.009373,0.009373
21,8973.52,1.76445,0.89848,1.69244,0.69698,0.58805,0.62857,0.47426,1.62073,1.14821,1.72649,0.00934,0.00934,0.00934
22,9204.66,1.75395,0.89423,1.69129,0.73028,0.59245,0.61755,0.46923,1.6234,1.15147,1.71726,0.009307,0.009307,0.009307
